Category,Option,Value
Governança,Art 9 I (a) distribuição servidores entre graus de jurisdição 219 art 3,10
Governança,Art 9 I (b) valores integrais das funções comissionadas 219 art 3,10
Governança,Art 9 I (c) valores integrais cargos em comissão 219 art 12,10
Governança,Art 9 I (d) 30% apoio indireto - servidores 219 art 11,5
Governança,Art 9 I (e) 30% apoio indireto - função comissionada 219 art 14,5
Governança,Art 9 I (f) 30% apoio indireto - cargo em comissão 219 art 14,5
Governança,Art 9 I (g) distribuição orçamento - proporcional média casos novos triênio Res 195,10
Governança,Art 9 II (a.1) consulta pública,15
Governança,Art 9 II (a.2) audiência pública,15
Governança,Art 9 II (b.1) reuniões com 30% magistrados,15
Governança,Art 9 II (b.2) reuniões com 30% servidores,15
Governança,Art 9 III PLS-Jud - IDS 80%,25
Governança,Art 9 IV (a) Possuir NatJus estruturado segundo CNJ,10
Governança,Art 9 IV (b) Plano Estadual de resolução de demandas de saúde,10
Governança,Art 9 IV (c) CEJUSC saúde ou acordo cooperação técnica,10
Governança,Art 9 IV (d) Possuir fluxo de cumprimento de decisões judiciais de saúde,10
Governança,Art 9 IV (e) Manual de Cumprimento de ordens judiciais para Magistrados,10
Governança,Art 9 V Centro de Inteligência - nota técnica 1,5
Governança,Art 9 V Centro de Inteligência - nota técnica 2,5
Governança,Art 9 V Centro de Inteligência - nota técnica 3 - adesão,5
Governança,Art 9 VI (a) Instalar (ata) Comissão de Prevenção e Enfrentamento a Assédio,10
Governança,Art 9 VI (b) Campanha de orientação sobre assédio,10
Governança,Art 9 VII (a) Gestão de Memória - 2 Editais de Eliminação de processos,20
Governança,Art 9 VII (b) Ambiente de Preservação de Memória,10
Governança,Art 9 VIII (a) Núcleo de Justiça Restaurativa com 2 servidores DE,10
Governança,Art 9 VIII (b.1) capacitação facilitadores 30h teórica 40h práticas,10
Governança,Art 9 VIII (b.2) capacitação continuada 20h,10
Governança,Art 9 VIII (c) relatório do Núcleo com 6 casos,10
Governança,Art 9 IX (a) GMF estrutura de apoio administrativo E equipe multiprofissional,20
Governança,Art 9 X 100% inspeções em 12 meses,30
Governança,Art 9 XI (a) 100% inspeções bimestrais Meio Fechado,20
Governança,Art 9 XI (b) 100% inspeções semestrais Meio Aberto,10
Governança,Art 9 XII (a) Participação Feminina - paridade promoção merecimento,10
Governança,Art 9 XII (b) Participação Feminina - paridade banca concurso magistratura,5
Governança,Art 9 XII (c) Participação Feminina - alta administração - P VP CGJ EMES,10
Governança,Art 9 XII (d) Participação Feminina - compor cortes eleitorais,10
Governança,Art 9 XII (e) Participação Feminina - paridade cargos de chefia,10
Governança,Art 9 XIII Centro Especializado de Atenção às Vítimas Res 253 funcionamento,20
Governança,Art 9 XIV (a.1) Acessibilidade - envio de Relatório,0
Governança,Art 9 XIV (a.2.1) 70% eventos com acessibilidade comunicacional,10
Governança,Art 9 XIV (a.2.2) 2 recursos de computador para deficiente visual,10
Governança,Art 9 XIV (a.2.3) Capacitação de servidor em acessibilidade,10
